,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
393,German Marquez,608566,15038,COL,MLB,30.1,0.211,0.081,0.072,0.067,0.246,0.202,0.363,0.043,3.909,0.005,1.0496666666666665,0.949,0.8413333333333334,1.1606666666666667,1.0073333333333334,1.045,0.9853333333333333,1.0713333333333332,0.967,1.0296666666666665,1.0113333333333334,0.9593333333333333,1.0323333333333333,1.0093333333333332,1.0013333333333334,0.8596666666666667
394,Seth Halvorsen,678020,33294,COL,MLB,25.1,0.259,0.101,0.04,0.059,0.258,0.178,0.441,0.035,3.909,0.014,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
395,Victor Vodnik,680767,24614,COL,MLB,25.5,0.213,0.102,0.079,0.065,0.242,0.162,0.418,0.041,3.909,0.007,1.0766666666666667,0.895,0.8593333333333334,1.1813333333333333,1.0093333333333334,1.045,0.9623333333333333,1.1123333333333334,0.9973333333333333,0.9999999999999999,1.0163333333333333,0.953,0.954,1.093,1.1663333333333332,0.6413333333333333
396,Tyler Kinley,641755,18297,COL,MLB,34.2,0.242,0.112,0.074,0.067,0.243,0.294,0.283,0.042,3.909,0.007,1.0223333333333333,0.969,0.8423333333333334,1.1896666666666667,0.9783333333333334,1.084,0.971,1.1016666666666666,1.0063333333333333,0.9886666666666666,0.9583333333333334,1.026,1.0363333333333333,0.989,1.0736666666666665,0.757
397,Luis Peralta,678821,24203,COL,MLB,24.3,0.31,0.116,0.04,0.038,0.294,0.052,0.463,0.035,3.909,0.024,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
398,Scott Alexander,518397,10591,COL,MLB,35.8,0.169,0.048,0.078,0.059,0.236,0.142,0.464,0.044,3.909,0.012,0.9046666666666666,1.1183333333333332,1.1036666666666666,0.8566666666666667,1.1246666666666667,0.8039999999999999,0.8986666666666667,1.0826666666666667,1.0619999999999998,0.9236666666666666,0.9713333333333333,1.0573333333333332,1.0053333333333332,0.9626666666666667,0.724,1.472
399,Jake Bird,656234,21267,COL,MLB,29.4,0.191,0.09,0.079,0.064,0.243,0.191,0.385,0.042,3.909,0.021,1.002,0.9936666666666666,0.9366666666666666,1.0783333333333334,0.9346666666666666,1.1403333333333334,0.9863333333333333,1.0826666666666667,1.0443333333333333,0.94,0.969,1.013,1.0553333333333332,0.9643333333333333,1.029,0.813
400,Angel Chivilli,683409,26790,COL,MLB,22.7,0.215,0.081,0.085,0.056,0.254,0.21,0.33,0.041,3.909,0.016,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
401,Jimmy Herget,623474,17556,COL,MLB,31.6,0.239,0.046,0.075,0.067,0.24,0.285,0.283,0.047,3.909,0.014,1.024,0.9616666666666667,0.839,1.243,0.8813333333333333,1.2716666666666667,1.0296666666666665,1.02,0.978,1.029,1.0453333333333334,0.8993333333333333,0.9716666666666667,1.0833333333333333,1.0946666666666667,0.6726666666666666
402,Bradley Blalock,687134,26419,COL,MLB,24.3,0.178,0.096,0.091,0.072,0.242,0.254,0.298,0.041,3.909,0.007,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
403,Austin Gomber,596295,16561,COL,MLB,31.4,0.177,0.066,0.086,0.065,0.244,0.254,0.302,0.042,3.535,0.004,0.9746666666666667,1.0353333333333332,1.0086666666666666,0.949,1.073,0.8596666666666667,1.0183333333333333,0.9563333333333334,1.0226666666666666,0.963,0.959,1.0893333333333333,1.0233333333333332,0.93,0.8996666666666666,1.232
404,Jeff Criswell,676105,27608,COL,MLB,26.1,0.248,0.089,0.094,0.074,0.246,0.219,0.276,0.048,4.069,0.008,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
405,Tanner Gordon,685299,27669,COL,MLB,27.5,0.187,0.067,0.08,0.057,0.249,0.27,0.291,0.043,3.794,0.005,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
406,Anthony Molina,683627,26952,COL,MLB,23.2,0.17,0.08,0.08,0.062,0.255,0.209,0.321,0.042,3.977,0.007,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
