,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
1071,Jose A. Rodriguez,679563,24388,PHI,MLB,23.9,0.194,0.057,0.09,0.053,0.267,0.184,0.348,0.058,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.33137894736842105,0.8077586206896552,3.909048103235316,0.005184705119896306,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1072,Garrett Stubbs,596117,18067,PHI,AAA,31.9,0.253,0.083,0.024,0.047,0.219,0.306,0.277,0.126,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.005,0.098,0.537,0.64,0.36,0.005,0.005,0.025,0.033,0.068,0.9319999999999999,0.0,0.004,0.023,0.125,0.152,0.848,0.0,0.0,0.002,0.322,0.324,0.6759999999999999,0.0698,0.95,3.9511677282377917,0.01607717041800643,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
1073,Paul McIntosh,682192,sa3017372,PHI,AAA,27.4,0.234,0.087,0.067,0.046,0.263,0.192,0.359,0.073,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.08310935251798561,0.715625,3.909048103235316,0.025416301489921123,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1074,Payton Henry,668721,22164,PHI,AAA,27.8,0.265,0.059,0.084,0.053,0.276,0.173,0.363,0.051,0.55,0.0,0.2,0.0,0.715,0.28500000000000003,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.0198,0.2,3.9215686274509802,0.02774108322324967,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1075,Josh Breaux,677007,sa3008051,PHI,AAA,27.5,0.278,0.057,0.106,0.055,0.259,0.203,0.309,0.069,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.0198,0.95,3.909048103235316,0.004642525533890436,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1076,Caleb Ricketts,681080,sa3019917,PHI,AA,24.9,0.231,0.075,0.047,0.042,0.271,0.199,0.356,0.085,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.205,0.205,0.795,0.028890909090909092,0.6772727272727272,3.909048103235316,0.029556650246305417,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
1077,Jordan Dissin,805301,sa3020100,PHI,AA,22.9,0.271,0.102,0.087,0.055,0.275,0.189,0.333,0.061,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.0578952380952381,0.5333333333333333,3.909048103235316,0.025341130604288498,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1078,Andrick Nava,682774,sa3010693,PHI,AA,23.5,0.218,0.091,0.045,0.045,0.289,0.201,0.33,0.09,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.205,0.205,0.795,0.03174029850746269,0.2,3.909048103235316,0.006779661016949152,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.952,1.06,1.028,0.821,0.841
1079,Jared Thomas,683228,sa3022589,PHI,AA,24.3,0.228,0.123,0.06,0.04,0.25,0.25,0.35,0.05,0.44,0.0,0.14,0.0,0.685,0.31499999999999995,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.205,0.205,0.795,0.11300388349514563,0.7,3.909048103235316,0.011704645213287564,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
1080,Carson Taylor,694930,sa3014468,PHI,AAA,25.8,0.233,0.098,0.092,0.056,0.296,0.182,0.312,0.062,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.205,0.205,0.795,0.04691864406779661,0.8428571428571429,3.909048103235316,0.011419249592169658,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.952,1.06,1.028,0.821,0.841
1081,Keaton Anthony,805704,sa3022608,PHI,AA,23.8,0.203,0.104,0.064,0.068,0.283,0.215,0.339,0.031,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.04018216560509555,0.8,3.909048103235316,0.011704645213287564,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1082,Buddy Kennedy,671083,22505,PHI,AAA,26.5,0.248,0.137,0.06,0.064,0.259,0.287,0.296,0.034,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.18,0.18,0.8200000000000001,0.0,0.0,0.0,0.196,0.196,0.804,0.0576698224852071,0.6821428571428572,4.12751677852349,0.01859628074385123,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1083,Rodolfo Castro,666801,21987,PHI,AAA,25.9,0.291,0.083,0.077,0.056,0.208,0.228,0.38,0.052,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.012,0.096,0.565,0.673,0.32699999999999996,0.012,0.006,0.035,0.025,0.078,0.922,0.0,0.0,0.01,0.166,0.176,0.8240000000000001,0.0,0.0,0.002,0.102,0.104,0.896,0.09091111111111111,0.45,3.838771593090211,0.015427769985974754,1.0705,0.8414999999999999,1.0925,0.952,0.881,1.2469999999999999,1.204,0.804,0.9994999999999999,1.025,0.9714999999999999,0.9744999999999999,1.044,0.995,0.87,0.974
1084,Christian Arroyo,624414,16434,PHI,AAA,29.9,0.218,0.034,0.064,0.053,0.281,0.219,0.33,0.054,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.005,0.111,0.519,0.635,0.365,0.008,0.005,0.034,0.031,0.078,0.922,0.0,0.0,0.024,0.164,0.188,0.812,0.0,0.0,0.002,0.132,0.134,0.866,0.09651232876712329,0.65,3.5460992907801416,0.016574585635359115,0.961,1.0785,0.9724999999999999,0.9495,0.9410000000000001,1.1925,0.9259999999999999,1.2015,0.982,1.0295,1.02,0.9504999999999999,1.0070000000000001,0.9915,1.0705,0.7375
1085,Rafael Lantigua,672463,sa3003219,PHI,AAA,26.9,0.223,0.101,0.055,0.05,0.269,0.235,0.339,0.052,0.44,0.0,0.14,0.0,0.685,0.31499999999999995,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.12985291005291005,0.7685483870967742,3.909048103235316,0.008441193021947102,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1086,Trent Farquhar,802531,sa3022606,PHI,AA,24.1,0.218,0.142,0.028,0.037,0.306,0.153,0.409,0.066,0.44,0.0,0.14,0.0,0.685,0.31499999999999995,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.205,0.205,0.795,0.23354045801526718,0.8,3.909048103235316,0.011704645213287564,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
1087,Otto Kemp,805249,sa3020577,PHI,AAA,25.6,0.246,0.088,0.069,0.049,0.305,0.199,0.29,0.089,0.55,0.0,0.2,0.0,0.715,0.28500000000000003,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.15606373626373626,0.743103448275862,3.909048103235316,0.055991041433370664,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1088,Luis Verdugo,677605,sa3006888,PHI,AAA,24.5,0.217,0.061,0.06,0.046,0.288,0.205,0.31,0.091,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.141,0.141,0.859,0.057300000000000004,0.7454545454545455,3.909048103235316,0.006211180124223602,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
